ID,YEAR,MONTH,MAIN,BAKER,BLUEBONNET,CARVER,CENTRAL,DELMONT GARDENS,EDEN PARK,FAIRWOOD,GREENWELL SPRINGS,JONES CREEK,PRIDE,RIVER CENTER,SCOTLANDVILLE,ZACHARY,WIFI USAGE TOTAL
202407,2024,July,23382,2176,9878,3825,2209,2733,1795,1742,2822,6406,1049,7991,1594,1656,69258
202406,2024,June,23991,2788,9934,2929,2660,3000,1937,1603,3323,6710,1260,7351,1341,1468,70295
202405,2024,May,28392,2863,12049,3136,2566,2604,1692,2033,2495,7173,1043,8209,1304,1673,77232
202404,2024,April,30452,2596,11438,3091,2248,2586,1679,2425,3188,8338,1157,8671,1640,1934,81443
202403,2024,March,27049,3159,11652,3467,2400,2605,1486,2622,2143,7849,1066,7008,1358,1899,75763
202402,2024,February,28302,2914,11158,2892,1905,2701,1296,4418,2067,6064,900,7749,1707,1528,75601
202401,2024,January,25974,2218,9019,2719,1822,2147,1526,5657,1628,5810,1817,6012,1561,1313,69223
202312,2023,December,27820,1725,9526,2832,2016,2323,1190,4003,1822,6088,808,6744,969,1192,69058
202311,2023,November,33778,1962,11380,3619,2300,2121,1144,4754,1921,6848,933,6866,1060,2342,81028
202310,2023,October,33967,2543,12081,5005,3011,3314,1366,5242,2039,10028,982,7306,1574,4099,92557
202309,2023,September,31576,2436,10944,2218,2392,2107,1683,4662,2211,10476,989,6657,1216,3711,83278
202308,2023,August,29030,2269,10156,2142,2548,2025,1469,4106,2723,9494,1271,8062,1327,3121,79743
202307,2023,July,24452,1704,8550,2136,2254,1974,1346,3563,2237,8410,1498,6326,1316,1735,67501
202306,2023,June,22646,1572,7884,2899,1959,2071,1436,4247,2511,7859,1563,6111,1635,1613,66006
202305,2023,May,25658,1840,12855,2735,2035,3723,1497,6254,2521,7343,1452,7064,1624,1973,78574
202304,2023,April,26405,2396,11367,3039,1990,2031,1350,4883,2401,6863,1239,6679,1513,2860,75016
202303,2023,March,30047,1986,11802,3782,2413,1709,1635,5260,2760,9249,1138,7993,1989,2764,84527
202302,2023,February,25799,1279,10170,2976,2195,1439,1413,5008,2178,8049,806,5813,1696,1495,70316
202301,2023,January,27047,1131,10353,1798,2173,1917,2338,4266,1822,7601,937,6005,1580,2436,71404
202408,2024,August,28350,2668,11492,3404,2277,3881,1924,2086,2590,7761,1334,7130,1351,1575,77823
202409,2024,September,26320,2044,10112,2721,1535,3390,1565,1908,2405,6879,951,6194,1520,1665,69209
202410,2024,October,33943,2661,13617,2940,2739,3829,1985,2697,3306,7898,1234,9293,1507,1926,89575
